"69","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","","1794.571161","","Jagir Sanad",""
"70","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","","1794.571161","","Jagir Sanad",""
"71","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","","1829.499405","","Jagir Sanad",""
"72","i126-1-230-1","The State Archive of Uzbekistan",""," ","Complaint about poetry lauding Ishaq Khan Afghani","","","Tasadduq",""
"73","i126-1-522-2","The State Archive of Uzbekistan","","","Complaint against a Qazi involving Jewish inheritance in Khatarchi","","","jews",""
"74","i126-2-317-1","The State Archive of Uzbekistan","","","Khivan Madrasa Cell Dispute","1910","","Arzamadrasa",""
"75","i126-2-317-2","The State Archive of Uzbekistan","","","Khivan Madrasa Cell Dispute","1910","","Arzamadrasa",""
"76","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","Order related to authorizing the seal of a muhtasib","1830.469634","","muhtasib",""
"77","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","Transferring position of muhtasib and imam from father to son","1863.45742","","Sanadmuhtasib",""
"78","i126-1-931-1","The State Archive of Uzbekistan","","","Qazi investigation into a madrasa no. 19 (محمد علی حاجی) waqf land-use dispute","","","ArzaTasadduqmadrasa",""
"79","i126-1-1756-2","The State Archive of Uzbekistan","","","Government investigation of disturbances by outsiders.","1875.100168","","",""
"80","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","Muhtasib reports on a disturbance of some kind.","","1765.464291","","muhtasib",""
"81","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","","1825.618489","","Jagir Sanad",""
"82","i126-1-938-2","The State Archive of Uzbekistan","","Royal inquiry into some fallow land outside a khanaqa (Khwaja Bustan), qazi asking permission for local ulama to work the land","","","","Tasadduq",""
"83","i126-1-1892-1","The State Archive of Uzbekistan","","Qazi Kalan (Badr al-Din, served 1889-1908) appointing his students to madrasa and Tuesday Arg prayer reader","","","","Arza",""
"84","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","Confirming compensation for a muezzin","","1879.951313","","",""
"85","Sadarat Aliya, Aurangabad, Unmarked Basta 1","Telangana State Archives & Research Institute","","","","","","",""
"86","i126-1-1953-2","The State Archive of Uzbekistan","","Qazi Zia al-Din's investigation of Charjuy aqsaqal request appointment of an imam","","","","ArzaTasadduq",""
"87","i126-1-1953-4","The State Archive of Uzbekistan","","Taj al-Din (muhtasib of Pirmast) requests royal endorsement to lead Friday prayers.","","","","ArzaTasadduq",""
"88","i126-1-1953-5","The State Archive of Uzbekistan","","Petition to replace a village imam.","","","","ArzaTasadduq",""
"89","i126-1-1867-2","The State Archive of Uzbekistan","","Training a young girl for service in the royal court.","","","","Tasadduq",""
"90","i126-1-1867-3","The State Archive of Uzbekistan","","Collecting supplies for a wedding celebration (toy)","","","","Tasadduq",""
"91","i126-1-1867-1","The State Archive of Uzbekistan","","Document about the kidnapping of a girl from Arabkhana.","","","","Tasadduq",""
"92","i126-1-1867-4","The State Archive of Uzbekistan","","Receipt for the sale of a kurpa","","","","Tasadduq",""
"93","i126-1-1867-5","The State Archive of Uzbekistan","","Purchase of a slave from the Jalayir Arabs (?)","","","","Tasadduq",""
"94","i126-1-1867-6","The State Archive of Uzbekistan","","Cho'ri bacha","","","","Tasadduq",""
"95","i126-1-1867-8","The State Archive of Uzbekistan","","Cho'ri bacha","","","","Tasadduq",""
"96","i126-1-1867-13","The State Archive of Uzbekistan","","Cho'ri bacha","","","","Tasadduq",""
"97","i126-1-1867-12","The State Archive of Uzbekistan","","Investigation of servant / harem girls","","","","Tasadduq",""
"98","i323-1-53","The State Archive of Uzbekistan","","Shahrisabz Waqf","","1783.898642","","waqf",""
