"1","قونالغه","qonalgha","billeting","","transoxaniakhorezm","military"
"2","جریب","jarib","","","transoxania","agriculturemeasurement"
"3","طنابانه","tanabana","","ṭanābānatạnāp","transoxania","taxes"
"4","ترخاندرخان","tarkhan","tax-free property","tarkhān","khorezmtransoxania","taxesproperty"
"5","جیب","yap","irrigation trench","","khorezmtransoxania","irrigation"
"6"," کیوانی چوریشان","kaywan","maidservant","kaywān","bukharatransoxania","women"
"7","بنجر افتاده","banjar","culturable waste","banjar","indic","agriculture"
"8","برات","barat","exemption letter","barāt","iranqajartransoxania","taxes"
"9","اوزک","awzak","royal seal","awzakauzak","indicmughal","seal"
"10","مطابق باصله","mutabiq bi-aslihi","vidimus","muṭābiq bi-aṣlihi","",""
"11","اَیمہ","aima","land grant for religious personnel","","mughalindic","land_grant"
"12","بيگهابیگههबीघा","bigha","","","indicmughal","measurement"
"13","چوری","cho'ri","maidservant","","transoxania","women"
"14","خراج","kharaj","agricultural tax","kharāj","islam","agriculturetaxes"
"15","","bogara","rain-fed land","bahārī","transoxania","agriculture"
"16","زکات","zakat","Islamic tax","zakāt","islam","taxestrade"
"17","قوروق","quruq","fallow (royal) land","qūrūq","transoxania","agricultureproperty"
"18","چیک","chek","newly irrigated (royal) land","chēk","transoxania","agricultureproperty"
"19","خاصه","khasa","royal land","khāsạkhāsạ̄ gī","persianate","agricultureproperty"
"20","","aq waqf","land-tax exempted endowment","āq waqf","transoxania","property"
"21","","qara waqf","endowment subjected to land-tax","qarā waqf","transoxania","property"
"22","ملک","milk","property","","islam","property"
"24","ملک خراج","mulk-i kharaj","","","islam","property"
"25","ملک حر","mulk-i hurr","","","islam","property"
"26","املاک","amlak","property holding","","islamtransoxania","property"
"27","فرمان","farman","royal decree","","persianate","royal"
"28","طغرا","tughra","","","","seal"
"29","","farman-i bayazi","","","indic","royal"
"30","قولنامه","qawl-nama","unilateral diplomatic missive","qawl-nāma","indic","diplomacy"
"31","رمز","ramz","informal royal note","ramz","indic","royal"
"32","منشور","manshur","diploma of approbation","manshūr","islam","legalroyal"
"33","وقف","waqf","endowment","waqf","islam","property"
"34","مدد معاش","madad-i ma'ash","charitable grant","madad-i maʿāsh","indic","property"
"35","اراضی","arazi","land","","islam","property"
"36","دهدو","dahdu","produce tax","dahdū","","taxesagriculture"
"37","","hukm","order","","islam","royal"
"38","موضع","mawzi","rural settlement","","",""
"39","معاد","mu'ad","return","muʿād","islam","financiallegal"
"40","مبارکنامه","mubarak-nama","","","","royaldocument_type"
"41","اقرار","iqrar","public declaration of sale","iqrār","islam","financiallegal"
"42","نشان","nishan","decree","","",""
"43","قبله گاه","qibla-gah","","","",""
"44","اسکنهسکنیات","uskuna","","uskunasukniyāt","","property"
"45","تصدق","tasadduq","sacrifice","","transoxania",""
"46","یرلیقیرلیغ","yarliq","decree","","","royal"
"47","نذر","nazr","supplicatory offering","","","royalsubordinate_to_superior"
"48","","bihisthi","water-carrier","","indic",""
"49","","akhta-khana","stablegallows","","transoxania","place"
"50","اشرفی","ashrafi","gold coin","ashrafīmuhr-i ashrafī","","money"
"51","آق قرا پل","aq qara pul","","","transoxania","money"
"52","الغات","ulghat","tribute","","","financialtaxes"
"53","اوتاقه","utaqa","turban","","","clothing"
"54","باج","baj","","","","taxescustoms_duty"
"55","پوت","pud","","","","measurement"
"56","تریکانه","tarikana","inheritance tax","","transoxania","taxesinheritance"
"57","تنگه","tanga","","","transoxania","money"
"58","درهمدرم","dirham","","","islam","money"
"59","دهیک","dahyak","","","bukhara","madrasastipend"
"60","","dinar","gold coin","","","money"
"61","عرضعریضهعرضنامه","arz","petition","","persianate","subordinate_to_superior"
"62","عشر","ushr","agricultural tax","","","agriculturetaxes"
"63","","batman","","","","measurementweight"
"64","малiетъمالات","maliet","agricultural tax","","","taxes"
"65","چلتوکشلتوک","chaltuk","rice plantation","","iran","agriculture"
"66","شالی","shali","rice patty","","persianate","agriculture"
"67","بلوک","buluk","","bulūk","iran","province"
"68","گز","gaz","customs duty","gazgiaz","iran","taxescustoms_duty"
"69","طناب","tanab","","ṭanāb","transoxania","measurementagriculture"
"70","","aminana","bazaar tax","","bukhara","tradetaxes"
"71","","dellali","","","iranbukhara","taxestrade"
"72","تاش","tash","","","transoxania","distancemeasurement"
"73","مهرلوق نشان","muhrluq nishan","sealed decree","muhrlūq nishān","transoxania",""
"74","زمین مملکه","zamin-i mamlaka","state land","zamīn-i mamlaka","persianate","agricultureproperty"
"75","اسناد","asnad","decree","asnād","",""
"76","","constatatio","","","","terminologydiplomatics"
"77","چک","chak","legal document","chak","transoxania","legal"
"78","سوزمیز","sozimiz","our word / order","sözimiz","transoxaniairan",""
"79","کوره","kura","district","kūra","transoxania","province"
"80","چقر","chaqar","street","","transoxania",""
"81","","bunak","deposit","","bukhara","tradefinancial"
"82","","qazi-khatti","receipt","qażī-khaṭṭi","bukhara","tradefinancial"
"83","سر و پای","sar-u-pa","robe of honor","","bukhara",""
"84","جهتجهاتمال و جهات","jihat","land revenues","","mughal","taxes"
"85","طرة","turra","margin","","arab_world","arab_world"
"86","","arenga","document justification","","","terminologydiplomatics"
"87","علامة","alama","royal ratification","","islam","arab_world"
"88","","invocatio","invocation (of God)","","","terminologydiplomatics"
"89","","intitulatio","name of sender","","","terminologydiplomatics"
"90","","inscriptio","name of recipient","","","terminologydiplomatics"
"91","","salutatio","salutation","","","terminologydiplomatics"
"92","","promulgatio","notification (of legal purpose)","","","terminologydiplomatics"
"93","","narratio","exposition","","","terminologydiplomatics"
"94","","dispositio","declaration of enactment","","","terminologydiplomatics"
"95","","sanctio","threat of punishment","","","terminologydiplomatics"
"96","","corroboratio","validation","","","terminologydiplomatics"
"97","","apprecatio","prayer of realization","","","terminologydiplomatics"
"98","","actum","legal enactment","","","terminologydiplomatics"
"99","","datum","recording of already-performed legal enactment","","","terminologydiplomatics"
"100","قبول","qabul","revenue lease or deed","","indic","taxes"
"101","دیسمکھ","desmukh","","","deccan","taxespolice"
"102","زمینداری","zamindari","","","indic",""
"103","دیسپندی","despandi","","","deccan","taxespolice"
"104","متصدیگیری","mutasaddi-giri","office or institution of a writer or clerk","","indic","clerkship"
"105","مضافات","muzafat","dependencies","","transoxania","province"
"106","پیگاه","paygah","Nizam's household troops","","deccan","military"
"107","سه بندی","sih-bandi (sebundy)","troops employed in the collection of revenues","","indic","taxesmilitary"
"108","یومیه","yawmiyya","daily allowence","","indic","stipend"
"109","پروانه","parwana","paper of permission","","","superior_to_junior"
"110","دستک","dastak","summons","","indic","superior_to_junior"
"111","مقدمه","muqaddama","affair","","indic","legal"
"112","قول","qawl","contract","","indic","superior_to_junior"
"113","بیض","bayz","monogram","","indic","seal"
"114","بیضانه","bayzana","cypher fee","","indic","sealfinancial"
"115","مهرانه","muhrana","seal fee","","","financial"
"116","موافق اصله","muwafiq-i aslihi","true copy","","",""
"117","کوس","kos","distance of around two miles","","indic","distance"
"119","تعلق","ta'alluq","estate","","indicmughal","land_grant"
"120","انفصال","infisal","","infiṣāl","indic",""
"121","جمعبندی","jama-bandi","","jamaʿ-bandī","indic","taxes"
"122","تقلید","taqlid","judicial investiture","","","legal"
"123","سرکار","sarkar","","","indic",""
"124","معامله","mu'amala","","","indic","taxes"
"125","دفعدار","dafa-dar","","","indic","military"
"126","","muqaddam","","","indic",""
"127","حواله دار","hawal-dar","subordinate revenue officer","","indic",""
"128","","istighasa","legal complaint","","indic","legal"
"129","بنده نوازا","banda-nawaza","O servant-succoring, world-sheltering lord","banda-nawāzā","","salutationhonorific"
"130","کچھری","kachheri","","","indic",""
"131","قلمی شد","qalami shud","","","indic",""
"132","م","mīm","","","indic","abbreviation"
"133","علاقه","ilaqa","estate, region","","mughal","land_grant"
"134","تیول","tuyul","","","","land_grant"
"135","تیول","jagir","","","","land_grant"
"136","انعام","in'am","grant","","indic","land_grantsuperior_to_junior"
"137","چوکی","chawki","cavalry","","indic",""
"138","قانونگو","qanun-gu","","","indic","taxes"
"139","مچلکه","muchalka","","","","financial"
"140","بیگار","bigar","forced labor","","",""
"141","حشر","hashar","forced labor","ḥashar","",""
"142","خریطه","kharita","letter bag","","deccan",""
"143","قباله","qabala","","","","contract"
"144","یاد","yad","","","","equal_to_equal"
"145","ڈاکداک","dak","post","","",""
"146","ضابطه","zabita","statute","","indic","law"
"147","ضبط","zabt","","","",""
"148","روبکاری","ru bi-kari","legal proceedings","","indic","law"
"149","","risala","troops","","",""
"150","محترفه","muhtarifa","tax on craft professions","","","taxes"
"151","خارججمع","kharij az jam","tax-free","","indic","taxes"
"152","چاور","chawar","","","indic","measurementdistance"
"153","رعیت واری","ra'iat-wari","","","indic","taxesagriculture"
"154","مفصل","mufassal","provincial district","","indic","province"
"155","کارباری","karbari","agent, middleman","","indic",""
"156","هندی","hundi","bill of exchange","","","financial"
"157","","busa","flat-bottomed boat","","",""
"158","","alaman","raiding party","","transoxania",""
"159","چکنامه","chaknāma","","","indic","land_grant"
"160","آلیق","aliq","","","transoxania","taxes"
"161","گھںڈی","khundighundi","cudgel","","indic",""
"162","سجل","sijill","","","islam","legal"
"163","محضر","mahzar","","","islam","legal"
"164","","sukuk","","","",""
"165","کرک","kurk","goat down","","iran","agriculture"
"166","قروق","quruq","state monopoly","","",""
"167","نادری","nadiri","a silver coin","nādirī","iran","money"
"168","مزارع","mazar'i","hamlet","","",""
"169","دیمی","daymi","unirrigated land","","","agriculture"
"170","للمی","lalmi","","","","agriculture"
"171","اسقاط","isqat","legal exclusion","","","law"
"172","سلغوت","salghut","land tax","","khorezm","taxes"
"173","تبرکنامه","tabarruk-nama","","","","royaldocument_type"
"174","نوری","nuri","manure fertilizer","nūrī","transoxania","agriculture"
"175","انسان کامل","insan-i kamil","perfect man","","","sufiphrase"
"176","","qadiyat","SSR-level branch of SADUM","qāḍīyat","soviet","soviet"
"177","","paranji","face-covering headscarf","","transoxania",""
"178","","muhtasibat","sub-SSR branch of Sadum","muḥtasibat","soviet","soviet"
"179","فتوی","fatwa","","","islam","law"
"180","","patta","small piece of paper","","soviet","soviet"
"181","سیل","sayl","","","islam","ritual"
"182","","hayit","festival of īd al-Fiṭr in Central Asia","","transoxania",""
"183","","sadr","funerary rite","","transoxania","ritual"
"184","","shiypon","seasonal camp","","transoxania",""
"185","حلقه","halqa","study circle","","islam","madrasa"
"186","فضیلت پناه","fazilat-panah","","fażīlat panāh","transoxania","lawhonorific"
"187","فرد","fard","","","",""
"188","وظیفه","wazifa","","","",""
"189","نقل","naql","narrative storytelling","naql","",""
"190","مرد کلان","mard-i kalan","","","","phrasesufi"
"191","سعدتلو","","","","ottoman",""
"192","","manzil","waystation","","",""
"193","عرض حال","arz-i hal","","","","subordinate_to_superior"
"194","انبار","anbar","","","",""
"195","تمغا","tamgha","customs duty","","transoxania","taxes"
"196","خورشیدکلاه ","khurshid-kulah","possessor of the solar crown","","","phrasehonorificroyal"
"197","حکمت مطلق","hikmat-i mutlaq","absolute wisdom","","","philosophical"
"198","سیاست","siyasat","","","",""
"199","سایه لطف خدا","sayah-i lutf-i khuda","shadow of the grace of God","","","royalphrasehonorific"
"200","چکیده","chakida","tablets produced from dried, raw opium","","transoxania","narcotics"
"201","هفت یک","haftiyak","﻿one-seventh of the Quran (as a separate book)","","",""
"202","حق دستور","haq dustur","law of rights","","indic","taxes"
"203","لوازم","lawazim","allowance","","indic","taxes"
"204","","pasayta","donated, rent-free land","","indic",""
"205","خانه زاد","khana-zad","house-born slave","","","slaverylegal"
"206","ام ولد","umm-walad","""mother of the child"" slave","","","slaverylegal"
"207","مکاتب","mukatab","contracted slave","","","slaverylegal"
"208","","tugh","yak- or horse-tail banner","","transoxania","ritual"
"209","","sar-ristha-dari","","sar-rishta-dārī","","clerkship"
"210","اشتهار نامه","ishtihar-nama","public notice","ishtihār-nāma","indic","document_type"
"211","","kothi","storage facility","kōt̥hī","indic","building"
"212","","piyada","on foot","","","military"
"213","","kotwali","chief police station","kōtwālī","","police"
"214","منقوله","manqula","personal property","manqūla","islam","propertylaw"
"215","ناظم","nazim","","nāẓim","","legal"
"216","لمبر","lambar","turn, number","lambar","indic",""
"217","","iqbal","confession","","","legal"
"218","قرائن","qara'in","connections, linkages","","","legal"
"219","سراغ","suragh","","surāgh","","police"
"220","حاطه","hata","compound","ḥāṭa","indic","building"
"221","جاپک","japak","","jāpak","indic",""
