... hamist,,together with (postposition)  14
... homānāg = ō ... homānāg,,"like, similar to  09"
(abāg ...) hamist,,together with  14
(abāg ...) hammis,,together with  19
"(ō) ... homānāg, homānāg ō ...",,"similar to, like  03"
(ō) ham bar-,,"carry together, gather, accumulate  10"
6 zaman,,6 o’clock  15
abāg baw-,,"be with, accompany  06"
abāg-iz,,"also with, even with  12"
abām stan-,,take up a loan  18
abar ... škenn- = škenn-,,break; perhaps: strike sth. from “above” and break it  05
abar āxēz-,,rise up  11
abar bar-,,bring (to); + ō: give  06
abar dār-,,"extend, offer  06"
abar dāštan,,"raise, lift up  10"
abar est-,,"step on; be in charge of, take care of (?)  18"
abar grift,,took up  13
abar mad,,came upon  11
abar mad,,came upon  13
abar nih-,,endow  18
abar ras- = ras-,,"arrive, come upon  05"
abar ras-/madan,,come upon  07
abar xwān-,,cry out  16
abāz (ast),,is left  19
abāz abespār-,,release (from servitude)  18
abāz bar-,,"carry back, return (sth.)  11"
abāz dah-,,give back  11
abāz dār-,,hold back  06
abāz dār-,,"hold back, keep away from (trans.)  09"
abāz dār- (dāšt),,"hold back, keep back  08"
abāz mān-,,remain behind  05
abāz wirāstan,,reconstitute  12
abāz wirāy-,,"redress, rebuild  05"
abd sah-,,seem marvelous (to)  16
āfrīn kun-,,"congratulate, “bless”  06"
āgāh kerdan,,"make aware, inform  15"
ān abāyēd kū,,wish (impersonal) + subjunctive or optative  19
ān and ... čand,,as/so much ... as  12
ān bawēd ī ka,,that is the case when  11
ān-and ... čand,,"as much ... as, so ... that  15"
ān-ōwōn čiyōn,,in that way that  09
andar (ham) zamān,,at once  11
andar abāyēd,,need (impersonal; Lesson 9)  10
andar āmadan,,come in(side)  11
andar ēn āwām,,in this day and age  10
andar kerdan,,put into; also = kerdan (?)  11
andar kun-,,"place, apply; + andar “into, onto”  08"
andar ō ... abgan-,,throw onto  07
andar ō kār kun-,,put to use  18
andar šaw-,,go in  13
andar taz-,,"set upon, attack  11"
andar xwēšīh (ī),,in the possession (of)  11
andar zamān,,at once  13
andar zamān,,right away  15
andar/bē šaw-,,go in/out  06
āsāyišn kun-,,relax  10
ast ī ... ast ī,,"one ... another, some ... others (Lesson 14)  08"
"ast ī ... ast ī, ast kē ... ast ī ",,"there is one who ... and another who, sometimes ... sometimes”  12"
ātaxš ī warahrān,,the Victorious Fire; the fire in the fire temple  10
ātaxš nišān-,,"establish, endow, “enthrone” a fire  18"
az ... est-,,cease  19
az ... wider-,,pass over/through; cross over  05
az ... wider-,,"pass through, cross over (bridge)  11"
az .... bē,,from  11
az ahlāyīh paydāgīh,,for Avestan aṣ̌ō.ciθra- “having the seed of Order”  14
az ēn kū,,"for this reason that, because  11"
az kār dār-,,"discard, ignore, put to ‘dis-use’ (?)  13"
az nūn frāz,,from now on  12
az pānāgīh hil-,,leave unprotected  14
az yazd bē guft bawēd,,is denied god (lit. “is said away from”; opposite of “is ascribed to”)  17
azabar ān gugāyīh gugāy,,above that witness (is) the witness (that)  18
bād,,may it be (subj. of baw-)  11
bahr kerdan,,give a share (to)  12
bastan,,"here: dam (up), channel  18"
bawēd ī ka,,"it happens that, sometimes  15"
bē,,begone!  15
bē ... ēnyā,,except  16
bē ... ēnyā,,"other than, except; but rather  12"
bē ... tā,,except  13
bē ... tā anīy,,except ... (there is/are) no other  09
bē bar-,,"carry away, get rid of  10"
bē est-,,stand (still)  08
bē est-,,"stand, come to a standstill, take up a position  06"
bē šaw-,,go out  13
bē stān-,,"take out, take away  10"
bē waštan + az,,turn away from  12
bun ud bar,,"beginning and fruits, capital and interest; first and last (indicates totality)  14"
čand 30 mard,,as much as thirty men  13
čand frārōnīhā,,in as (morally) good way as possible (Lesson 13)  17
čārag kun-,,find a means (to)  10
čiyōn,,also: “that is”  13
dādestānōmandīhā,,by being someone acting in compliance with the law  17
dām ud dahišn,,the entire creation; cf. dām-dahišnīh “the establishment of the creation”  10
dārišn,,"‘holding’, but not necessarily ‘owning’ (xwēšīh)  18"
dārišn bar-,,‘carry possession’  18
daštān dār-,,observe the menstruation rules  14
dēn ī mazdēsnān ,,the dēn of the Mazdayasnians  10
dēn mazdēsn,,"the Mazdayasnian dēn, the Zor. tradition  10"
drāz + infinitive,,it would take too long to ...  12
drīst (drust) awar,,welcome!  06
drust (drīst) awar,,welcome!  12
duš-fargīhā,,in order to make miserable/cause misery  17
ēč + nē/ma,,"not any, no"
ēd rāy ... čē,,"for this reason that, because  13"
ēd rāy čē,,"for the reason that, because  18"
ēdōn ... ī,,in such a way that  17
ēdōn ... ī,,so ... that  03
ēdōn ... ī,,so ... that  13
ēdōn ... ī,,so/such ... that  16
ēdōn ... kū,,in such a way that  15
ēdōn bawēd kū,,it happens (comes about) that  10
ēdōn čiyōn,,in this way that  09
ēdōn homānāg čiyōn,,just like  14
ēk ān ī,,one case is that of ...  18
ēk ēk,,one by one  10
ēk ōy (ī) did,,one another  14
ēn kū,,"(is) this, (namely) that  15"
ēn kū,,"as for this (statement, issue) that  10"
ēwēnag ēwēnag,,of various kinds  12
framān dah-,,"give an order, order, command; opposite: framān bar- “obey”  06"
framāyēd nišast,,please be seated!  15
frāz az,,after  18
frāz bar-,,bring forth  16
frāz brēhēn-,,"fashion forth, “create”  06"
frāz gīr-,,undertake  14
frāz mān- = mān-,,remain  05
frāz ō ... āy-,,"come forth to, arrive at  05"
frāz padīr-,,receive  18
frāz sāz- = sāz-,,prepare  05
frāz srāy-,,"sing, recite  13"
frāz warz- = warz-  18,,
frāz wistar-,,spread out  05
gād dah-,,offer sex  16
gēhān gīr-,,"take (i.e., conquer) the world; cf. royal name Jahangir  09"
gyāg ī gād,,"place of sexual activity, female genitals  16"
gyāg ud gāh,,place and position  05
gyāg-ēw,,"in some place, somewhere  11"
hād,,‘so be it!’; that is; yes (and)  16
hamāg ēn zamīg,,on this whole earth; note no preposition in adverbial phrases of place  17
hamē tā,,all the time until  19
hamist (ud) hamāg,,all  18
handāzag ī ,,"like, similar to  08"
harw kadār,,each and everyone  12
hērbedestān kun-,,‘go to school’  10
hunsand + az,,happy/satisfied with  17
ī ast,,that is  11
ī xwad ast ,,who/which is nothing but (Lesson 15)  14
im rōz,,today  13
ǰār-ēw ,,"in sum, all in all, all told; once and for all  18"
ǰud ǰud,,each one separately  15
kāmagōmandīhā ud a-kāmagīhā,,"willingly and not willingly, willy nilly  19"
kār framāy-,,"apply (?), use  18"
kār kerdan + az,,use  19
kār pad kāmag ī X,,the matter (will be) as X wishes  15
kār ud dādestān,,“work and justice”; expresses all human activities  14
kē rāy,,"wherefore, and therefore  10"
kēšdārān kē ... kēš,,the ‘holders of teachings’ whose teaching (is) ...  16
kū tā,,"so that, in order that  12"
ma abēr,,not (too) much  11
mān ud wis ud zand ud deh,,"appr.: house, village, (extended) family/tribe, town/land  16"
mard ī ahlaw,,a/the Righteous man; epithet often applied to Gayōmard  15
mehmān baw-,,"(be)come intrinsic (to), lodge (in)  06"
mērag ... ziyānag,,"man and woman, often when referring to someone already mentioned  19"
miyazd kun-,,"make ritual offerings (bread, fruit, wine, etc.)  14"
mizd stadan,,obtain a reward  18
nām ud farroxīh,,fame and fortune  07
nēk tō,,good for you! (Lesson 12)  14
nihādag nih-,,make an endowment  18
nisēy kerdan,,abort; note that nisēy is spelled like nasāy!  18
Note expressions for penitence:  15,,
ō ... estād,,turned to  08
ō ... pēš,,"(come, go, etc.) before (someone)  15"
ō ... rasīdan,,"come to, reach  05"
ō ... rōn,,"to(ward), in the direction of  07"
ō ... šaw-,,"go to, approach  13"
ō amāh paywast,,has come down to us  16
"ō bun baw-, ras-",,"(become) one’s/their own, (accrues) to one’s stock (of good/bad deeds)   10"
ō ham dazdan,,burn up  11
ō hayārīh xwāh-,,"request as help, as to come to help  09"
ō kār šaw-,,be used  18
ō kū,,"whither, to where (cf. az kū “whence, from where”)  12"
ō nazdīk šaw-,,‘approach’ (for sex)  15
ō padīrag āy-,,"come toward, come to meet  05"
"ō padīrag āy-, āmad",,"come toward, come to meet  06"
ō pas,,"behind, e.g. “run behind”  05"
ō paydāgīh āy-,,appear  05
ō paydāgīh mad,,appeared  13
ō paydāgīh mad,,"became manifest, appeared  09"
ō pēš,,"in front, e.g. “run in front”  05"
ō wardišn estād,,had begun turning  05
ō wirēg est- ,,be in exile  05
ō xwēš kerdan,,"make one’s own, appropriate   17"
ō xwēš kun-,,"make one’s own, appropriate  10"
ō xwēš kun-,,"make one’s own, appropriate  16"
ō xwēšīh ī ... ras-,,come into the possession of  12
ō yazišn xwāh-,,ask (a divine being to come) to the sacrifice  11
ōh bawēd,,it is in the usual manner  11
pad ... abar = pad  14,,
pad ... andar = andar,,in  05
pad ... dār-,,hold on to  13
pad ... dār-,,regard as ...  08
pad ... nih-,,establish as ...  08
pad ... pādixšāy,,in charge of  15
pad ... rāy = ... rāy  14,,
pad ... wistāx baw- ,,have confidence in  01
pad ān abar,,thereby  15
pad ān čim,,for that reason  10
pad ān mayān,,‘in that middle’ = in the middle of that  13
pad andar,,in(side)  15
pad čār,,(even though) being able (to do so)  17
pad čār ud tuwān,,according to means and ability  16
pad čašm,,  19
pad čē ēwēnag,,in what manner? how?  10
pad čē kār,,"for what ‘work’, for what purpose  09"
pad dāštan,,having in one’s care  18
pad dēn āstawān baw-,,to profess (have faith in) the dēn  10
pad ēč ēwēnag ... nē,,in no way  14
pad ēč rāh,,in any way  11
pad ēd dār- (kū),,"think, consider (that)  10"
pad ēn kū tā,,"with this (thought) that, in order that  16"
pad gyāg,,"on the spot, at once  07"
pad gyāg,,"on the spot, right away  13"
pad gyān dōšāram,,in love  19
pad handāzag,,regarding the size/amount   18
pad homānāgīh ī,,"in the resemblance of, in analogy with (appr.: corresponding to)  14"
pad homānāgīh ī,,"in the same way as, just like  16"
pad kār ... dār-,,practice  14
pad kār nē abāyēd,,have no need for  13
pad kardag,,according to custom  16
pad kardag āwar-,,do according to sanctioned practice  10
pad marag,,in total  09
pad margīh,,for the death (of ...) = in order to cause the death ...  17
pad mayān kun-,,place in the middle  06
pad mayānag ī ,,in the middle of  10
pad nigerišn,,"on purpose, purposefully  16"
pad nihānīh dār-,,keep hidden  13
pad padīragīh,,against  12
pad paygāmbarīh,,as messenger (paygāmbar)  17
pad petīt baw-,,be repentant  18
pad tan,,"“in/with body,” indentured (servant)  18"
pad tārīk,,in the dark  14
pad tēz-rawišnīh,,quickly  18
pad tis-iz ēwēnag,,in any way at all  17
pad was-maragīh,,in great numbers  14
pad xwār dār-,,"look down upon, despise  13"
pad xward dār-,,suckle (?)  19
pad-petīt = petītīg,,penitent  15
pādifrāh bar-,,suffer punishment  14
pādifrāh kun-,,"exact punishment, punish  06"
pahlom ox = pahlom axwān,,"the Best Existence, paradise  11"
pahrēz gōw-,,"‘utter pahrēz’, care (for)  13"
pahrēz gōw-,,"‘utter pahrēz’, care (for)  17"
pas az,,"after (place, time); preposition  05"
pas az ān ka,,after (conjunction)  15
pas az ān ka,,after (time); conjunction  05
pas ī,,after (location)  15
pas-kōxšišnīhā,,by (only) fighting after (having been provoked/attacked  17
paydāg kun-,,"here: make public, advertise   18"
paymān kun-,,enter into a contract  16
pēš dār-,,"hold forth, offer  10"
pēš ī,,"in front of, before  05"
pēš kū,,before (conjunction)  15
pēš kū,,"before (conjuntion, time)  11"
petīt-wināh,,having repented for one’s sin(s)  15
petītīg = pad-petīt,,penitent  15
petītīgīh,,penitence  15
petītīgīhā,,"while being repentant, when repentant  18"
petītīhā,,while in a state of repentance  18
purr kun-,,to fill  09
rāh dār-,,“hold” the road; cf. rāh-dār “highway robber”  15
rāh dār- ,,"watch the road, lie in wait; cf. rāhdār “higway robber”  07"
rāmišn kun-,,"be happy, have fun  10"
ranǰ ud āwām dīdan,,experience   19
rawāg baw-,,"be set in motion, be propagated  16"
rawāg kun-,,"give currency; set in motion, propagate  14"
rāy ud xwarrah,,expression taken from Avestan ahe raiia xvarənaŋhaca “by his wealth and Xwarrah”; reinterpreted to mean something like “luminosity and Xwarrah”; the Persian translations of the Avesta have nur o xorah “Light and Xwarrah”; in the Pahlavi tradition this rāy is understood as tuxšāgīh “diligence”  08
sahist,,seemed (good) to  14
