,script,sk_tslit,sk_def,uid
31,abāz wirāstan,,reconstitute  12,79
32,abāz wirāstan,,reconstitute  12,4008
43,andar abāyēd,,need (impersonal; Lesson 9)  10,172
44,andar abāyēd,,need (impersonal; Lesson 9)  10,408
45,andar āmadan,,come in(side)  11,346
46,andar āmadan,,come in(side)  11,409
131,frāz az,,after  18,718
132,frāz az,,after  18,1472
148,hād,,‘so be it!’; that is; yes (and)  16,1719
149,hād,,‘so be it!’; that is; yes (and)  16,1720
150,hād,<HWE(')t'>,particle introducing a comment  16,1719
151,hād,<HWE(')t'>,particle introducing a comment  16,1720
161,im rōz,,today  13,2017
162,im rōz,,today  13,3201
172,kū tā,,"so that, in order that  12",2294
173,kū tā,,"so that, in order that  12",3600
174,kū tā,so that  04,,2294
175,kū tā,so that  04,,3600
191,ō ... rōn,,"to(ward), in the direction of  07",2720
192,ō ... rōn,,"to(ward), in the direction of  07",3202
239,pad gyāg,,"on the spot, at once  07",4428
240,pad gyāg,,"on the spot, right away  13",4428
271,pas az,,"after (place, time); preposition  05",723
272,pas az,,"after (place, time); preposition  05",2919
286,petītīgīh,,penitence  15,3043
287,petītīgīh,<ptytykyh>,repentant  15,3043
319,xūb,,"good, valid (legal)  10",4198
320,xūb,<hwp>,"good, valid  10",4198
321,xūb,<hwp'>,good  01,4198
323,xwarrah,,Xwarrah  06,4254
344,ābādānīh,<’p̄’t’nyh>,inhabited area  12,6
346,abāg,<LWTE>,with  03,12
348,abāgīh,<’p̄’kyh>,accompaniment; < abāg “together with”  07,14
349,abām,<’p̄’m>,"loan, debt  16",16
355,abargar,<’p̄lgl>,who works above  06,38
356,abārīg,<’p̄’ryk'>,"the other, the remaining  03",39
357,abārōnīh,<’p̄’lwnyh>,bad behavior  08,46
362,abaxšīh,<’p̄hšyh>,pity  11,59
375,abdom,<’p̄dwm>,last; in the end  01,88
381,abēbar,<’by-bl>,"fruitless, not bearing fruits  10",92
382,abēbēš,<’p̄ybyš>,unharmed  14,93
384,abēgumānīh,<’p̄ygwm’nyh>,state of non-doubting; freedom from doubt  01,102
385,abēr,<’p̄yl>,very  06,108
386,abērāh,<’p̄yd-l’s>,having lost one’s way  10,109
397,abēzagīh,<’p̄yckyh>,purity  02,128
399,ābgēnag,<’p̄kynk'>,glass   13,132
400,ābgēnagēn,<’p̄kynkyn'>,of glass  09,133
401,ābīg,<’p̄yk'>,"water-, living in the water  10",134
413,,EW˙dahAWcÅ,<’p̄whš’yšnyh>,3162
414,,  18,,3162
415,,WwaÂïjA,’sym’n>  02,3162
416,,,,3162
417,,YLYDWNšnyh>  12,,3162
418,,∫MwYcD,gcdwmb>  16,3162
419,,gwb- gwpt'>,"say, speak; with abar: recite   04",3162
420,,-wYCwLN,<mwlncyn->  13,3162
421,,- ßAwYW,<nywkš->   10,3162
422,,"Wt∆dAWW , WtdaÅWW",<wn’hyt'/wn’syt'>  10,3162
423,,<sp̄wc- sp̄wht'>,  13,3162
424,,<šwd- šwst'>  10,,3162
425,,<YTYBWN-st'>,"establish, endow, “enthrone” (a fire)  09",3162
426,,<gwb- gwpt'>,"say, speak  06",3162
432,abzōnīgīh,<’p̄zwnykyh>,being full of increase/growth  15,170
434,adādestānīh,"<’d’tst’nyh, ’DYNAyh>","lawlessness, lack of justice  11",184
435,adādīhā,<’d’tyh’>,not according to/against the law  13,182
436,adān,<’d’n'>,"without knowledge, ignorant  13",190
438,ādur,<’twr'>,fire  04,202
439,ādur,<’twr'>,fire  05,202
445,āfrīnagān,<’p̄rynk’n'>,"Āfrīnagān, name of a a ceremony  10",213
452,āgāhīh,<’k’syh>,"awareness, knowledge, information  10",237
453,agar,<HT>,if  09,240
458,āgenēn,<’knyn'>,together  11,247
464,āhang,<’hng>,inclination  15,264
468,ahanūz,<’hnwc>,yet; ahanūz ... nē “not yet”  11,267
470,āhen,<’syn'>,iron  13,268
475,ahlaw,<’hlwb'>,Righteous (opposite: druwand)  03,273
476,ahlawdād,<’hlwb' d’t'>,alms  18,274
477,ahlāyīh,"<’hl’dyh, ’hl’yh >",Righteousness  03,276
479,ahlomōγ,<’hlmwk'>,heretic; inscr. <’lswmwkȳ>  18,278
480,ahlomōγīh,<’hlmwkyh>,"being a heretic, heresy  18",279
481,āhōg,<’hwk'>,blemish  17,280
484,ahōš,<’hwš>,immortal  17,283
491,akāmagōmand,<’k’mk’wmnd>,unwilling  09,299
492,akanārag,<’kn’lk'>,limitless  02,300
500,almāst,<’lm’st'>,steel  11,309
501,ālūdagīh,<’lwtkyh>,pollution; cf. NPers. āludagi-e havā “air pollution”  19,311
503,amar,<’ml>,"countless, innumerable  10",320
505,amaragān,<’mlk’n>,"the many, the common people  18",324
506,amaragānīhā,<’mlk’nyh’>,"generally, commonly, universally  18",326
507,amarg,<’mlg>,undying  06,327
511,amāwandīh,<’m’wndyh>,"powerfulness, strength  10",332
512,ambar,<’mbl>,amber  10,334
520,ān,<ZK>,that  03,353
522,anābādān,<’n’p̄’t’n'>,uninhabited  12,357
523,anabēdān,<’n’p̄yt’n'>,‘un-approached’ (sexually; Av. term)  09,361
528,anāgīh,<’n’kyh>,evil  04,374
529,anāhōg,<’n’hwk'>,"unblemish, unsullied  18",381
531,anāštīh,<’n’štyh>,"lack of peace, war  05",396
533,andar,<BYN>,"in, inside; during  01",407
540,andarwāy,<’ndlw’d>,"the intermediate space (between heaven and earth), atmosphere  04",417
544,angust,<’ngwst'>,finger  16,431
549,anōš,<’nwš>,nectar  06,441
555,apetyārag,<’pyty’lk'>,lacking adversity  06,462
567,Ardwahišt,<’rtwhšt'> ,protector of fire  15,487
