,UID,Term,Emic_Term,Translit,Scope,Tags,JoinKey,Def,Spec,Source
0,1,qonalgha,قونالغه,,transoxaniakhorezm,military,1,"A term found in documents thoughout the Turko-Mongol world in various forms, all of which are derived from qonmoq. It refers to the obligation of the rural populace to billet state officials and military personnel in their homes for a rest or for the night, providing them with food and entertainment, as well as provisions for the next day's journey. The billeting duty is described as one of the heaviest obligations imposed on the common people, even being referred to as a 'national disaster' in Ilkhanid Iran.",,
1,1,qonalgha,قونالغه,,transoxaniakhorezm,military,1,"""This Turkish word which appears in the Farmans of the Mughals with mutilated spellings sometimes, has given rise to very interesting interpretations... It has been translated (i) 'daily allowance and lodging of envoys going backward and forward', and (ii) 'allowance and lodging.'""",,983.0
2,2,jarib,جریب,,transoxania,agriculturemeasurement,2,"""Jarīb was the former land measure, also the measuring instrument in yards, and bīgha was the name applied to jarīb.""",,983.0
3,2,jarib,جریب,,transoxania,agriculturemeasurement,2,"A unit of measure, both of volume and of land. Can also be used to refer to a tax on a given measure of land (جریبانه).",,
4,3,tanabana,طنابانه,ṭanābānatạnāp,transoxania,taxes,3,"This tax was ""calculated on the basis of the cultivated surface (measured in tạ nāp, or tanap in Russian), and pro-rated according to the kind of crop, not according to the annual harvest.""""There is no uniformity either in sources or historiography on the size of a tanap; approximately, it amounted to between one-fourth and one-sixth of the Russian desyatina.  e latter being 1,09254 ha, a tanap would be 0.18 to 0.27 ha.""",ferghana,280.0
5,3,tanabana,طنابانه,ṭanābānatạnāp,transoxania,taxes,3,"""Tạnāp was reportedly paid on orchards, gardens, and vineyards that required more labor and long-term investments but were more remunerative than cereal crops.",ferghana,280.0
6,3,tanabana,طنابانه,ṭanābānatạnāp,transoxania,taxes,3,ماليات بر باغها و تاكستانها از هر طناپ مربع در خجند برابر بود,transoxania,283.0
7,3,tanabana,طنابانه,ṭanābānatạnāp,transoxania,taxes,3,report comparing khiraj and tanabana in Bukhara (1910),bukhara,299.0
8,4,tarkhan,ترخاندرخان,tarkhān,khorezmtransoxania,taxesproperty,4,واژهاي كهن؛ امتياز معافيت ماليـاتي، بـراي يـكشخص يا آبا و اجدادي ]براي ده نسل يا هميشه[، كسي كه اين معافيت را داشـت  از امتيازهاي ديگري هم برخوردار بود، بهويژه براي 9 جـرم محاكمـه و محكـوم نمي شد، يا حق ورود به كاخ خان را بدون اجازة خاص دارا بود,,283.0
9,5,yap,جیب,,khorezmtransoxania,irrigation,5,Artificial trench for irrigation.,khorezm,273.0
10,5,yap,جیب,,khorezmtransoxania,irrigation,5,جيب: گودال، سنگر,ferghana,283.0
11,6,kaywan, کیوانی چوریشان,kaywān,bukharatransoxania,women,6,"regional (областное) term for a woman who is in charge of the table and dishes during weddings; домохозяйка (house wife); высокая терасса, веранда (фольклёрное)",,
12,8,barat,برات,barāt,iranqajartransoxania,taxes,8,چيزي كه بايد داده شود,,283.0
13,8,barat,برات,barāt,iranqajartransoxania,taxes,8,از فعل برمق، یعنی دادن - یک گواهی،‌به ویژه از گرد آورندۀ مالیات,,283.0
14,8,barat,برات,barāt,iranqajartransoxania,taxes,8,"письменное предприсание: ""для сбора податей, правитель командирует кого нибудь из своих служителей, снабдив его письменных предписанияем (берат) на имя того места, откуда требуется подать.""",,307.0
15,8,barat,برات,barāt,iranqajartransoxania,taxes,8,"""Tribute tax... It was payable - in proportion to each group's population - in either sheep or grain""",transoxania,
16,8,barat,برات,barāt,iranqajartransoxania,taxes,8,"""Sometimes, the families of captives [taken by Turkmen raiders] would send coins and promissory notes (called bar ̄at) via caravans traveling from Iran, which merchants from the caravans would exchange for their loved ones.""",iran,764.0
17,8,barat,برات,barāt,iranqajartransoxania,taxes,8,"""deed of appointment, or grant of privilege""",ottomans,
18,9,awzak,اوزک,awzakauzak,indicmughal,seal,9,"""According to Abu al-Fazl, this seal was used, among other things, for سیورغال grants. During Jahangir's reign at one time, the فرمان were sent to the imperial harem to be sealed with the auzak, for according to Abd al-Hamid Lahori this seal was then kept by the Empress.""",mughals,519.0
19,10,mutabiq bi-aslihi,مطابق باصله,muṭābiq bi-aṣlihi,,,10,"glossed as the Latin ""vidimus"": an official or legal inspection (as of a document); an attested copy of a document",,
20,11,aima,اَیمہ,,mughalindic,land_grant,11,"""Land granted by the Mogul Government, either rent-free or subject to a small quit-rent, to learned and religious persons of the Mohammedan faith, or for religious and charitable uses in relation to Mohammedanism. Such tenures were recognised by the British Government as hereditary and transferable.""",mughals,508.0
21,11,aima,اَیمہ,,mughalindic,land_grant,11,"""... towards the close of Aurangzeb's reign a'imma was treated as a hereditary property that could be leased out.""",mughals,529.0
22,12,bigha,بيگهابیگههबीघा,,indicmughal,measurement,12,"This term active in revenue documents during Akbar's time, e.g. in year 979/1571.",,519.0
23,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,,,94.0
24,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,,,96.0
25,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,used in conjunction with ghulam: غلام چوری,,1089.0
26,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,بالا خىزمەتچى,xinjiang,1091.0
27,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,"چوره: خدمتکار مرد باشد که آنرا ""محرم چوره"" نامند",,1090.0
28,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,female slave; still in common use in Uzbekistan,,
29,13,cho'ri,چوری,,transoxania,womenservantsslavery,13,невольныца,,1143.0
30,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,"""generally corresponded to a one-fifth share of the crop""",ferghana,280.0
31,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,"""In 1873 the old Bukharan system was simplified: besides zakāt, there only remained tanap and kheradzh. Kheradzh itself was reduced by half of what peasants had supposedly paid under the emir, corresponding now to only 10 percent of the crop, also on irrigated land.""",bukharasamarqand,280.0
32,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,"""Land / produce tax which in Central Asia eventually came to mean basically 'one fifth of produce or its value in money'"" ",,280.0
33,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,ماليات اسلامي بر زمـين، يـك پـنجم سـهم غلـه اززمينهاي آبي و يك دهم زمينهاي ديمي )قزاقان در تاشكند برخي از خواجگان و شيخها را از خراج معاف كردند و آنان را معلمان و مرشدان، خور كردند,transoxania,283.0
34,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,"""харадж 10-ю часть с жатвы""",tashkent,286.0
35,14,kharaj,خراج,kharāj,islam,agriculturetaxes,14,report comparing khiraj and tanabana in Bukhara (1910),bukhara,299.0
36,15,bogara,,bahārī,transoxania,agriculture,15," ""The first [kind of crop] was collected on tilled land, both irrigated (ābī) and rain-fed (lalmī), under wheat, sorghum, rice, etc. Russian sources define rain-fed land more often as bogara, although this term, derived from the local bahārī, properly refers to rain-fed land sown with spring wheat.",ferghana,280.0
37,16,zakat,زکات,zakāt,islam,taxestrade,16,"""In the countryside, livestock was the basis to calculate zakāt, the general tithe on economic activities.""",ferghana,280.0
38,16,zakat,زکات,zakāt,islam,taxestrade,16,"1/40th of profits: ""1 руб. с 40 р. дохода""",tashkent,286.0
39,16,zakat,زکات,zakāt,islam,taxestrade,16,"Trade tax: ""На прощании г. токсаба обещал сам придти на закет, т.е. на ревизию товаров когда они придут.""",bukhara,995.0
40,17,quruq,قرققوروق,qūrūq,transoxania,agricultureproperty,17,"""the khan’s land constituted a distinct category: it included the khan’s fallow land (qūrūq)""",ferghana,280.0
41,17,quruq,قرققوروق,qūrūq,transoxania,agricultureproperty,17,منع و بازداشت,,8.0
