rel_id,parent_id,child_id,type
1,209,5,contains
2,210,209,contains
3,211,209,contains
4,100,211,contains
3000,3,5000,contains
3002,3,5002,contains
3003,14,5003,contains
3005,3,5007,contains
3006,3,5008,contains
3007,3,5009,contains
3010,3,5013,contains
3011,3,5014,contains
3012,3,5015,contains
3013,3,5016,contains
3014,3,5017,contains
3015,3,5018,contains
3016,3,5019,contains
3017,3,5021,contains
3018,3,5022,contains
3019,3,5023,contains
3020,3,5024,contains
3021,3,5025,contains
3022,3,5026,contains
3023,3,5027,contains
3024,3,5029,contains
3025,3,5031,contains
3028,3,5034,contains
3029,3,5035,contains
3030,3,5036,contains
3031,3,5038,contains
3032,3,5043,contains
3033,3,5044,contains
3034,3,5046,contains
3035,3,5051,contains
3036,3,5052,contains
3037,3,5053,contains
3038,3,5055,contains
3039,3,5057,contains
3041,3,5059,contains
3042,3,5060,contains
3043,3,5062,contains
3044,3,5063,contains
3045,3,5064,contains
3046,3,5065,contains
3047,875,5066,contains
3048,3,5067,contains
3049,3,5068,contains
3050,3,5069,contains
3051,3,5072,contains
3052,3,5074,contains
3053,3,5075,contains
3054,3,5078,contains
3055,3,5079,contains
3056,3,5080,contains
3057,3,5081,contains
3059,3,5084,contains
3060,3,5085,contains
3061,48,5087,contains
3062,3,5088,contains
3063,3,5091,contains
3064,28,5095,contains
3065,3,5097,contains
3066,3,5098,contains
3067,3,5100,contains
3068,3,5101,contains
3069,3,5102,contains
3070,3,5103,contains
3072,3,5109,contains
3073,3,5110,contains
3074,3,5112,contains
3075,3,5113,contains
3076,3,5114,contains
3077,875,5116,contains
3078,3,5117,contains
3079,3,5118,contains
3080,3,5119,contains
3081,3,5120,contains
3082,3,5125,contains
3083,3,5126,contains
3084,3,5127,contains
3085,3,5131,contains
3086,14,5132,contains
3087,3,5133,contains
3088,3,5134,contains
3089,3,5135,contains
3091,3,5138,contains
3092,3,5139,contains
3094,3,5142,contains
3095,3,5143,contains
3096,3,5146,contains
3097,3,5149,contains
3098,3,5152,contains
3099,3,5153,contains
3100,3,5155,contains
3101,3,5156,contains
3103,3,5159,contains
3105,3,5162,contains
3106,3,5163,contains
3107,3,5165,contains
3108,3,5166,contains
3109,3,5167,contains
3110,3,5168,contains
3111,3,5169,contains
3112,3,5170,contains
3113,3,5171,contains
3114,3,5172,contains
3115,3,5173,contains
3116,3,5176,contains
3117,3,5183,contains
3118,3,5184,contains
3119,3,5187,contains
3120,3,5188,contains
3122,3,5191,contains
3123,3,5192,contains
3124,3,5193,contains
3125,3,5194,contains
3126,3,5197,contains
3127,3,5198,contains
3128,3,5200,contains
3129,3,5201,contains
3130,3,5202,contains
4000,5000,1031,contains
4001,927,1087,contains
4002,5002,1118,contains
4003,5003,1244,contains
4004,6077,1075,contains
4005,6077,1076,contains
4006,6077,1099,contains
4007,5007,1045,contains
4008,5008,1156,contains
4009,5009,1017,contains
4010,5009,1018,contains
4012,6129,1130,contains
4013,5013,1062,contains
4014,5014,1177,contains
4015,5015,1106,contains
4016,5016,1096,contains
4017,5017,1143,contains
4018,5018,1072,contains
4019,5019,1211,contains
4020,5019,1212,contains
4021,5021,1206,contains
4022,5022,1200,contains
4023,5023,1167,contains
4024,5024,1247,contains
4025,5025,1165,contains
4026,5026,1124,contains
4027,5027,1078,contains
4028,5027,1079,contains
4029,5029,1195,contains
4030,5029,1196,contains
4031,5031,1199,contains
4032,928,1089,contains
4033,6103,1163,contains
4034,5034,1061,contains
4035,5035,1050,contains
4036,5036,1159,contains
4037,5036,1160,contains
4038,5038,1107,contains
4039,5038,1109,contains
4040,5038,1137,contains
4041,5038,1138,contains
4042,5038,1139,contains
4043,5043,1071,contains
4044,5044,1051,contains
4045,5044,1052,contains
4046,5046,1153,contains
4047,5046,1154,contains
4048,5046,1155,contains
4049,5046,1182,contains
4050,5046,1183,contains
4051,5051,1086,contains
4052,5052,1093,contains
4053,5053,1090,contains
4054,5053,1092,contains
4055,5055,1028,contains
4056,5055,1158,contains
4057,5057,1038,contains
4058,5131,1126,contains
4059,5059,1157,contains
4060,5060,1054,contains
4061,5060,1198,contains
4062,5062,1057,contains
4063,5063,1029,contains
4064,5064,1030,contains
4065,5065,1098,contains
4066,5066,1127,contains
4067,5067,1203,contains
4068,5068,1104,contains
4069,5069,1108,contains
4070,5069,1116,contains
4071,5069,1117,contains
4072,5072,1135,contains
4073,5072,1136,contains
4074,5074,1024,contains
4075,5075,1113,contains
4076,5075,1114,contains
4077,5075,1115,contains
4078,5078,1058,contains
4079,5079,1083,contains
4080,5080,1152,contains
4081,5081,1191,contains
4082,6121,1192,contains
4083,6121,1193,contains
4084,5084,1027,contains
4085,5085,1140,contains
4086,5085,1141,contains
4087,5087,1216,contains
